,epochs,k_max,k_min,nModels,seed,train,valid,valid_avg
186,74,4,2,5,9202,0.18533941908559384,0.5035992552539418,0.43462948852739297
187,76,4,2,5,9202,0.1819841023132696,0.5056940529123166,0.434582743254223
188,78,4,2,5,9202,0.18095242231262573,0.5084752561310508,0.43486728036764066
189,80,4,2,5,9202,0.1762358023791378,0.5090223088082365,0.43485806054855236
190,82,4,2,5,9202,0.17338763540630425,0.5082785563676983,0.4345670960781035
191,84,4,2,5,9202,0.17031050787827193,0.512977422904102,0.43546597647077584
192,86,4,2,5,9202,0.16841799278306938,0.5106725914730209,0.435275343661757
193,88,4,2,5,9202,0.16559059330256923,0.513449665405551,0.43544959337235534
194,90,4,2,5,9202,0.16463699152617228,0.5130595057677682,0.4370009650683742
195,92,4,2,5,9202,0.15928484642566493,0.5151589883560739,0.437311236707752
196,94,4,2,5,9202,0.16031575081726943,0.5079232209039429,0.4361616683253637
197,96,4,2,5,9202,0.15865743890869746,0.514508221487731,0.4353114634578954
198,98,4,2,5,9202,0.15383922578829143,0.5189965524213587,0.4364288086618427
199,100,4,2,5,9202,0.1528239682231771,0.5191651110446057,0.4368484258317973
200,22,4,2,6,9203,0.2876277532187235,0.48528824569369816,0.43652680256725124
201,24,4,2,6,9203,0.279378343915348,0.48308326385996125,0.4351908318260191
202,26,4,2,6,9203,0.27347860178532035,0.4864517286833952,0.43499309782682277
203,28,4,2,6,9203,0.26687120459849334,0.4844744559145032,0.43354355940563494
204,30,4,2,6,9203,0.26460827667718173,0.4853074577641588,0.4331988981274487
205,32,4,2,6,9203,0.2601340836850308,0.48710984268397195,0.4326587367948821
206,34,4,2,6,9203,0.25338248839023514,0.48694910625745724,0.43184363959590816
207,36,4,2,6,9203,0.25002300415250156,0.48836723918216224,0.4318683680833879
208,38,4,2,6,9203,0.24439720351164962,0.48743820886909234,0.4320198573400339
209,40,4,2,6,9203,0.23986980157197751,0.48938843576604857,0.4313615007854494
210,42,4,2,6,9203,0.23642015636273797,0.4882916682497702,0.43128490976781064
211,44,4,2,6,9203,0.23190193494379452,0.49172959199323835,0.4318020994335428
212,46,4,2,6,9203,0.22710153468699512,0.49144577905078235,0.4302890754437033
213,48,4,2,6,9203,0.2252651623520786,0.49186787707206164,0.4310021777038819
214,50,4,2,6,9203,0.22184290356304578,0.49217188375159376,0.4308189499206943
215,52,4,2,6,9203,0.21804402155509003,0.4995462794741433,0.4312559907676577
216,54,4,2,6,9203,0.2150542113284301,0.4988184101030808,0.43108224099199544
217,56,4,2,6,9203,0.21179770449077404,0.5002657161714567,0.4317682436794072
218,58,4,2,6,9203,0.20708847470812994,0.49903194866046485,0.4318065586787363
219,60,4,2,6,9203,0.20184699606841644,0.49920100599114975,0.43120725987263026
220,62,4,2,6,9203,0.1993569957277317,0.4960561794999798,0.430127925101105
221,64,4,2,6,9203,0.19665499398798736,0.49957704529373953,0.4307020135315835
222,66,4,2,6,9203,0.19363482254243042,0.5020182059663453,0.430538558634967
223,68,4,2,6,9203,0.190657097485548,0.5020290308373326,0.43132275623757327
224,70,4,2,6,9203,0.1881851911234897,0.50623608574255,0.4325147847989133
225,72,4,2,6,9203,0.18634261083909348,0.5061574787881512,0.4320854880100197
226,74,4,2,6,9203,0.1829834151203248,0.5055743179103491,0.4313918222476491
227,76,4,2,6,9203,0.18002541733191754,0.5063396330089417,0.43110124637214936
228,78,4,2,6,9203,0.17574953029323231,0.5133009999164949,0.43158569365212635
229,80,4,2,6,9203,0.17134871963302342,0.5081885899585888,0.43111412814301914
230,82,4,2,6,9203,0.1713495390463576,0.5166833578132228,0.4316215656477619
231,84,4,2,6,9203,0.16887575263741092,0.5131435825090257,0.4323606597808944
232,86,4,2,6,9203,0.1645844065503595,0.5129101092838393,0.4314456592561449
233,88,4,2,6,9203,0.16351066043373258,0.5160950181341878,0.43178712942344094
234,90,4,2,6,9203,0.1590247936243974,0.5126572310107375,0.43292321331615974
235,92,4,2,6,9203,0.1564145786155621,0.5127700668264615,0.4331511229020666
236,94,4,2,6,9203,0.1573679510651683,0.5201910190574166,0.4327421287941287
237,96,4,2,6,9203,0.15379007725796268,0.5176422604493383,0.43173522912260254
