,epochs,nModels,seed,train,valid,valid_avg
264,70,5,3823,0.21398918366141434,0.4855578490118533,0.4324699715529851
265,72,5,3823,0.20741672530210348,0.4844618157367272,0.4319035228043005
266,74,5,3823,0.20753260840936408,0.4890457410564394,0.43250794882101257
267,76,5,3823,0.20157816137864548,0.4842450904243031,0.4301524242963298
268,78,5,3823,0.20075031496156465,0.4873950537693508,0.4308914831438064
269,80,5,3823,0.19665113620409946,0.4849590486820036,0.43031682949285605
270,82,5,3823,0.1953346322826797,0.4913055240934932,0.4318505941176556
271,84,5,3823,0.1909673279090832,0.4883049548787172,0.4311073116938832
272,86,5,3823,0.1908384280006276,0.4919978664827125,0.432099437903036
273,88,5,3823,0.18465145499762656,0.491145734339869,0.4298152781380005
274,90,5,3823,0.1804692219776366,0.4893942888215466,0.4305895750664988
275,92,5,3823,0.18199923555431785,0.4920266954805739,0.4317182895248491
276,94,5,3823,0.1776612183916446,0.4953631186096445,0.4317702201392948
277,96,5,3823,0.1722400101861148,0.4924372984532741,0.43255623224974654
278,98,5,3823,0.17187264793102888,0.4951983259020555,0.4326744206217844
279,100,5,3823,0.16712308923997346,0.4967007887165104,0.4319624611840465
280,102,5,3823,0.16822278803242433,0.4988241079867359,0.43429830423260735
281,104,5,3823,0.16375669564199916,0.5016648284011004,0.4338854685566591
282,106,5,3823,0.15744354514898198,0.4934199486751226,0.431864493911755
283,108,5,3823,0.16061255058863558,0.5006514231131605,0.43295273410000223
284,110,5,3823,0.15688997421759607,0.499481961842339,0.43302632300814703
285,112,5,3823,0.1570545070386054,0.5057590721144789,0.4342504082861411
286,114,5,3823,0.15215365852575133,0.5044060440268242,0.4339112907312896
287,116,5,3823,0.14942031599724684,0.5038779731173868,0.4355120123277789
288,118,5,3823,0.14709653816273052,0.5029867212474254,0.4334057775217439
289,120,5,3823,0.14522123939346052,0.5050320085552938,0.4322030935893419
290,122,5,3823,0.14510094100540827,0.5104926410383936,0.4367846658212435
291,124,5,3823,0.14106950518933287,0.5044715214801345,0.4331488746066385
292,126,5,3823,0.14064538582478506,0.5061723269777065,0.4334997873908445
293,128,5,3823,0.14131854328194982,0.5123955154331153,0.43476499897392346
294,130,5,3823,0.13717904026385666,0.5076600242076728,0.4347812703403253
295,132,5,3823,0.13174622686352222,0.5043309254634197,0.43628050939114493
296,134,5,3823,0.13393520739734033,0.5114264380027552,0.4367190456971933
297,136,5,3823,0.13123308023031408,0.5121229946577917,0.4354835750212053
298,138,5,3823,0.1276117690621542,0.5114557378149212,0.4371109069093467
299,140,5,3823,0.13106623826514122,0.5196247339077827,0.4372704303898151
300,22,6,3824,0.3297653835171176,0.4713911088049973,0.4411409034361285
301,24,6,3824,0.3222976704121097,0.4701929271177087,0.4392921476057687
302,26,6,3824,0.3171926815195766,0.4686668824546419,0.4382136670528374
303,28,6,3824,0.3140546837844547,0.4692378302892746,0.4380314066044129
304,30,6,3824,0.3096281152468036,0.4696627651671053,0.4368048273372249
305,32,6,3824,0.3041146783335365,0.4718338290618268,0.4363483959615413
306,34,6,3824,0.29944043546596644,0.4702374885188013,0.4358604877732462
307,36,6,3824,0.2948401131352907,0.4682841968264312,0.4349444001536962
308,38,6,3824,0.29088053065114144,0.4710778869761998,0.4343916492702973
309,40,6,3824,0.2850988413157511,0.4703523573731559,0.4346187144569965
310,42,6,3824,0.28162835574127826,0.4707431054595901,0.4335404827729576
311,44,6,3824,0.2765277953508858,0.4683711244099659,0.4324193210079974
312,46,6,3824,0.27357298627812193,0.4711885170878266,0.4320766962770908
313,48,6,3824,0.2675687571614821,0.470156877725885,0.43175828856496107
314,50,6,3824,0.2677094108799296,0.4743466402861646,0.4314720078809654
315,52,6,3824,0.26187179390614523,0.4718907051520206,0.4317848178354029
316,54,6,3824,0.2586979840835275,0.4714801969200548,0.4311681350783526
317,56,6,3824,0.2530424263543161,0.4731507887468986,0.4324158459324778
318,58,6,3824,0.25075059587923376,0.4741368110107945,0.4310692193905431
319,60,6,3824,0.24902129586679736,0.4739351942033915,0.43048535993572207
320,62,6,3824,0.2450609662974452,0.4750859393348758,0.4301988217890079
321,64,6,3824,0.24026623958886426,0.473773259887942,0.42987358604712617
322,66,6,3824,0.2364770675887872,0.4751755070477365,0.4301910730357338
323,68,6,3824,0.2350732720331618,0.4773155162135151,0.4306842254185384
324,70,6,3824,0.23073647348915874,0.478990003120329,0.4304676161284233
325,72,6,3824,0.2283740808796024,0.477496373253691,0.4297188311787972
326,74,6,3824,0.22550281531104502,0.4817496362114614,0.4304753014792889
327,76,6,3824,0.2212715297131037,0.47901571285739397,0.4277651773054572
328,78,6,3824,0.22003172650304467,0.4765695373835737,0.42837952705460014
329,80,6,3824,0.21766427615461825,0.4808373945328632,0.42835095127875533
330,82,6,3824,0.21437554844588344,0.4790774494825646,0.4288381185137517
331,84,6,3824,0.20909242789094606,0.4814542233998931,0.4284001067487053
332,86,6,3824,0.20874791396786851,0.4828321009277587,0.4298893210558624
333,88,6,3824,0.2041639945051823,0.4846990691269679,0.42735113874144187
334,90,6,3824,0.20030981856252394,0.4858403235047051,0.42857575559422334
335,92,6,3824,0.19741791663398872,0.4844945699243587,0.4288546053089389
336,94,6,3824,0.19776244087331166,0.4854537451570506,0.4291443807302917
337,96,6,3824,0.19602240748651856,0.4934169950184002,0.4307338358604725
338,98,6,3824,0.18966616643762987,0.487709568236121,0.4301982084611903
339,100,6,3824,0.1887830145834058,0.490269786891895,0.4295997935243018
340,102,6,3824,0.1860271699035803,0.4880423121159583,0.4313867806741728
341,104,6,3824,0.1840609960432223,0.4919876848895,0.4312581640780624
342,106,6,3824,0.1855976634246894,0.4981980022448269,0.4300033444042492
343,108,6,3824,0.17915213525451698,0.4923025711256507,0.4307733472516339
344,110,6,3824,0.17797404506170889,0.4927838614555536,0.4300836044445941
345,112,6,3824,0.17528051842421266,0.4995623636197967,0.4315904254460197
346,114,6,3824,0.17361713506071993,0.5014112519776568,0.4316161266535698
347,116,6,3824,0.16894868784871778,0.4953244098562368,0.4320535622661405
348,118,6,3824,0.16848264878003186,0.5006454282491662,0.4309980523902549
349,120,6,3824,0.16754284142900422,0.5026692123072227,0.4304659610752646
350,122,6,3824,0.1631058142935196,0.4991353217164293,0.43304984613325226
351,124,6,3824,0.161798737761266,0.5039916308563752,0.4308952868421076
352,126,6,3824,0.16216077559010653,0.5071913945767192,0.4313451439647668
353,128,6,3824,0.15539736135323626,0.5098694942727292,0.4322440326260553
354,130,6,3824,0.15500140844214785,0.5038815062503792,0.4316894909024341
355,132,6,3824,0.15437721853682349,0.5112836522054794,0.4331772670861113
356,134,6,3824,0.15044873410281748,0.5075009219274548,0.4335592064788007
357,136,6,3824,0.1483935474521954,0.5076493075170095,0.4326668087644794
358,138,6,3824,0.14782997772909925,0.5107772921603111,0.434285744502948
359,140,6,3824,0.14427468536347732,0.5101904195004542,0.4338709631306355
360,22,7,3825,0.32288234385648323,0.468591212008724,0.4405758886025032
361,24,7,3825,0.31845596128889514,0.4691483173864749,0.4387856902265523
362,26,7,3825,0.3127305160661009,0.4680656435169177,0.4376786596100994
363,28,7,3825,0.3058761765648225,0.46765605615540295,0.4372763329480518
364,30,7,3825,0.3023410278849628,0.4699612959690612,0.4361728299936726
365,32,7,3825,0.2955946927276973,0.4680729080868662,0.4354326484864191
366,34,7,3825,0.2912902102816349,0.4685040086106218,0.4348905440625966
367,36,7,3825,0.2870347362934399,0.4676219161808934,0.4340503734781341
368,38,7,3825,0.2810723152255111,0.4686535238929029,0.4334181626677042
369,40,7,3825,0.27651041030824525,0.4674465054640314,0.43345820365660215
